gene_id,gene_name,description
ENSMUSG00000076940,Iglv2,immunoglobulin lambda variable 2 [Source:MGI Symbol;Acc:MGI:99548]
ENSMUSG00000077148,Gm22935,"predicted gene, 22935 [Source:MGI Symbol;Acc:MGI:5452712]"
ENSMUSG00000077167,Gm24119,"predicted gene, 24119 [Source:MGI Symbol;Acc:MGI:5453896]"
ENSMUSG00000077192,Snora17,"small nucleolar RNA, H/ACA box 17 [Source:MGI Symbol;Acc:MGI:4360060]"
ENSMUSG00000077202,Gm25612,"predicted gene, 25612 [Source:MGI Symbol;Acc:MGI:5455389]"
ENSMUSG00000077222,Gm22270,"predicted gene, 22270 [Source:MGI Symbol;Acc:MGI:5452047]"
ENSMUSG00000077323,Rnu11,U11 small nuclear RNA [Source:MGI Symbol;Acc:MGI:2148804]
ENSMUSG00000077380,Gm22661,"predicted gene, 22661 [Source:MGI Symbol;Acc:MGI:5452438]"
ENSMUSG00000077426,Gm26387,"predicted gene, 26387 [Source:MGI Symbol;Acc:MGI:5456164]"
ENSMUSG00000077450,Rab11b,"RAB11B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99425]"
ENSMUSG00000077493,Snord91a,"small nucleolar RNA, C/D box 91A [Source:MGI Symbol;Acc:MGI:3819564]"
ENSMUSG00000077497,Gm23593,"predicted gene, 23593 [Source:MGI Symbol;Acc:MGI:5453370]"
ENSMUSG00000077505,Gm24233,"predicted gene, 24233 [Source:MGI Symbol;Acc:MGI:5454010]"
ENSMUSG00000077549,Snord71,"small nucleolar RNA, C/D box 71 [Source:MGI Symbol;Acc:MGI:3819554]"
ENSMUSG00000077565,Gm23201,"predicted gene, 23201 [Source:MGI Symbol;Acc:MGI:5452978]"
ENSMUSG00000077569,Gm24608,"predicted gene, 24608 [Source:MGI Symbol;Acc:MGI:5454385]"
ENSMUSG00000077575,Gm24888,"predicted gene, 24888 [Source:MGI Symbol;Acc:MGI:5454665]"
ENSMUSG00000077637,Gm22771,"predicted gene, 22771 [Source:MGI Symbol;Acc:MGI:5452548]"
ENSMUSG00000077704,Snord89,"small nucleolar RNA, C/D box 89 [Source:MGI Symbol;Acc:MGI:3819562]"
ENSMUSG00000077711,AF357399,snoRNA AF357399 [Source:MGI Symbol;Acc:MGI:5439844]
ENSMUSG00000077714,Snord17,"small nucleolar RNA, C/D box 17 [Source:MGI Symbol;Acc:MGI:3819523]"
ENSMUSG00000077733,Gm23608,"predicted gene, 23608 [Source:MGI Symbol;Acc:MGI:5453385]"
ENSMUSG00000077734,Snord83b,"small nucleolar RNA, C/D box 83B [Source:MGI Symbol;Acc:MGI:3819557]"
ENSMUSG00000077737,Snord72,"small nucleolar RNA, C/D box 72 [Source:MGI Symbol;Acc:MGI:3819555]"
ENSMUSG00000077787,Gm23908,"predicted gene, 23908 [Source:MGI Symbol;Acc:MGI:5453685]"
ENSMUSG00000077925,Mir453,microRNA 453 [Source:MGI Symbol;Acc:MGI:3718517]
ENSMUSG00000077928,Mir208b,microRNA 208b [Source:MGI Symbol;Acc:MGI:3718461]
ENSMUSG00000077962,Mir874,microRNA 874 [Source:MGI Symbol;Acc:MGI:3718564]
ENSMUSG00000078091,Gm10912,predicted gene 10912 [Source:MGI Symbol;Acc:MGI:3809094]
ENSMUSG00000078117,Gm16485,predicted gene 16485 [Source:MGI Symbol;Acc:MGI:3642771]
ENSMUSG00000078122,F630028O10Rik,RIKEN cDNA F630028O10 gene [Source:MGI Symbol;Acc:MGI:3641813]
ENSMUSG00000078126,Rpl23a-ps3,"ribosomal protein L23A, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3781353]"
ENSMUSG00000078127,Fam170b,"family with sequence similarity 170, member B [Source:MGI Symbol;Acc:MGI:2145650]"
ENSMUSG00000078137,Ankrd63,ankyrin repeat domain 63 [Source:MGI Symbol;Acc:MGI:2686183]
ENSMUSG00000078139,AK157302,cDNA sequence AK157302 [Source:MGI Symbol;Acc:MGI:3574096]
ENSMUSG00000078141,Gm2399,predicted gene 2399 [Source:MGI Symbol;Acc:MGI:3780567]
ENSMUSG00000078143,Gm17344,"predicted gene, 17344 [Source:MGI Symbol;Acc:MGI:4936978]"
ENSMUSG00000078144,Capns2,"calpain, small subunit 2 [Source:MGI Symbol;Acc:MGI:1916793]"
ENSMUSG00000078153,Psme2b,"protease (prosome, macropain) activator subunit 2B [Source:MGI Symbol;Acc:MGI:1341073]"
ENSMUSG00000078154,Gm12184,predicted gene 12184 [Source:MGI Symbol;Acc:MGI:3652174]
ENSMUSG00000078157,Fem1al,fem-1 homolog A like [Source:MGI Symbol;Acc:MGI:2441689]
ENSMUSG00000078161,Erich3,glutamate rich 3 [Source:MGI Symbol;Acc:MGI:1919095]
ENSMUSG00000078179,Rnf148,ring finger protein 148 [Source:MGI Symbol;Acc:MGI:1918550]
ENSMUSG00000078180,Gm20900,"predicted gene, 20900 [Source:MGI Symbol;Acc:MGI:5434256]"
ENSMUSG00000078184,Rbm8a2,RNA binding motif protein 8A2 [Source:MGI Symbol;Acc:MGI:3612447]
ENSMUSG00000078185,Chml,choroideremia-like [Source:MGI Symbol;Acc:MGI:101913]
ENSMUSG00000078190,Dnm3os,"dynamin 3, opposite strand [Source:MGI Symbol;Acc:MGI:3052332]"
ENSMUSG00000078193,Gm2000,predicted gene 2000 [Source:MGI Symbol;Acc:MGI:3780170]
ENSMUSG00000078201,Tmem203,transmembrane protein 203 [Source:MGI Symbol;Acc:MGI:2443597]
ENSMUSG00000078202,Nrarp,Notch-regulated ankyrin repeat protein [Source:MGI Symbol;Acc:MGI:1914372]
ENSMUSG00000078234,Klhdc7a,kelch domain containing 7A [Source:MGI Symbol;Acc:MGI:2444612]
ENSMUSG00000078235,Fam43b,"family with sequence similarity 43, member B [Source:MGI Symbol;Acc:MGI:3651622]"
ENSMUSG00000078238,Gm12854,predicted gene 12854 [Source:MGI Symbol;Acc:MGI:3650410]
ENSMUSG00000078247,Airn,antisense Igf2r RNA [Source:MGI Symbol;Acc:MGI:1353471]
ENSMUSG00000078249,Hmga1b,high mobility group AT-hook 1B [Source:MGI Symbol;Acc:MGI:96161]
ENSMUSG00000078251,Gm16487,predicted gene 16487 [Source:MGI Symbol;Acc:MGI:3641811]
ENSMUSG00000078252,Krtap17-1,keratin associated protein 17-1 [Source:MGI Symbol;Acc:MGI:1925164]
ENSMUSG00000078253,Krtap16-1,keratin associated protein 16-1 [Source:MGI Symbol;Acc:MGI:3650326]
ENSMUSG00000078289,Gm10923,predicted gene 10923 [Source:MGI Symbol;Acc:MGI:3779135]
ENSMUSG00000078300,Gm2606,predicted pseudogene 2606 [Source:MGI Symbol;Acc:MGI:3780774]
ENSMUSG00000078302,Foxd1,forkhead box D1 [Source:MGI Symbol;Acc:MGI:1347463]
ENSMUSG00000078307,AI593442,expressed sequence AI593442 [Source:MGI Symbol;Acc:MGI:2143099]
ENSMUSG00000078314,Gm14762,predicted gene 14762 [Source:MGI Symbol;Acc:MGI:3705212]
ENSMUSG00000078317,F8a,factor 8-associated gene A [Source:MGI Symbol;Acc:MGI:95474]
ENSMUSG00000078348,Sf3b5,"splicing factor 3b, subunit 5 [Source:MGI Symbol;Acc:MGI:1913375]"
ENSMUSG00000078349,AW011738,expressed sequence AW011738 [Source:MGI Symbol;Acc:MGI:2140540]
ENSMUSG00000078350,Smim1,small integral membrane protein 1 [Source:MGI Symbol;Acc:MGI:1916109]
ENSMUSG00000078365,Mos,Moloney sarcoma oncogene [Source:MGI Symbol;Acc:MGI:97052]
ENSMUSG00000078370,Gm6316,predicted pseudogene 6316 [Source:MGI Symbol;Acc:MGI:3646088]
ENSMUSG00000078427,Sarnp,SAP domain containing ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1913368]
ENSMUSG00000078429,Ctdsp2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 [Source:MGI Symbol;Acc:MGI:1098748]"
ENSMUSG00000078435,AU041133,expressed sequence AU041133 [Source:MGI Symbol;Acc:MGI:2143755]
ENSMUSG00000078439,Smim24,small integral membrane protein 24 [Source:MGI Symbol;Acc:MGI:1919523]
ENSMUSG00000078440,Dohh,deoxyhypusine hydroxylase/monooxygenase [Source:MGI Symbol;Acc:MGI:1915964]
ENSMUSG00000078442,Ccdc105,coiled-coil domain containing 105 [Source:MGI Symbol;Acc:MGI:1918226]
ENSMUSG00000078444,Gm10941,predicted gene 10941 [Source:MGI Symbol;Acc:MGI:3779151]
ENSMUSG00000078451,Ppil6,peptidylprolyl isomerase (cyclophilin)-like 6 [Source:MGI Symbol;Acc:MGI:1920325]
ENSMUSG00000078452,Raet1d,retinoic acid early transcript delta [Source:MGI Symbol;Acc:MGI:1861032]
ENSMUSG00000078453,Abracl,ABRA C-terminal like [Source:MGI Symbol;Acc:MGI:1920362]
ENSMUSG00000078485,Plekhn1,"pleckstrin homology domain containing, family N member 1 [Source:MGI Symbol;Acc:MGI:2387630]"
ENSMUSG00000078486,Perm1,"PPARGC1 and ESRR induced regulator, muscle 1 [Source:MGI Symbol;Acc:MGI:1921433]"
ENSMUSG00000078487,Ankrd65,ankyrin repeat domain 65 [Source:MGI Symbol;Acc:MGI:2685285]
ENSMUSG00000078490,Cfap74,cilia and flagella associated protein 74 [Source:MGI Symbol;Acc:MGI:1917130]
ENSMUSG00000078491,Gm13090,predicted gene 13090 [Source:MGI Symbol;Acc:MGI:3650445]
ENSMUSG00000078494,Gm13201,predicted gene 13201 [Source:MGI Symbol;Acc:MGI:3649941]
ENSMUSG00000078495,Zfp984,zinc finger protein 984 [Source:MGI Symbol;Acc:MGI:3651978]
ENSMUSG00000078496,Zfp982,zinc finger protein 982 [Source:MGI Symbol;Acc:MGI:3701121]
ENSMUSG00000078502,Zfp268,zinc finger protein 268 [Source:MGI Symbol;Acc:MGI:3651014]
ENSMUSG00000078515,Ddi2,DNA-damage inducible protein 2 [Source:MGI Symbol;Acc:MGI:1917244]
ENSMUSG00000078517,Emc1,ER membrane protein complex subunit 1 [Source:MGI Symbol;Acc:MGI:2443696]
ENSMUSG00000078521,Aunip,aurora kinase A and ninein interacting protein [Source:MGI Symbol;Acc:MGI:1917135]
ENSMUSG00000078531,Gm831,predicted gene 831 [Source:MGI Symbol;Acc:MGI:2685677]
ENSMUSG00000078532,Nkain1,Na+/K+ transporting ATPase interacting 1 [Source:MGI Symbol;Acc:MGI:1914399]
ENSMUSG00000078546,Zfp995,zinc finger protein 995 [Source:MGI Symbol;Acc:MGI:1917331]
ENSMUSG00000078552,Dcdc2b,doublecortin domain containing 2b [Source:MGI Symbol;Acc:MGI:2686212]
ENSMUSG00000078554,Fam229a,"family with sequence similarity 229, member A [Source:MGI Symbol;Acc:MGI:1915483]"
ENSMUSG00000078566,Bnip3,BCL2/adenovirus E1B interacting protein 3 [Source:MGI Symbol;Acc:MGI:109326]
ENSMUSG00000078570,1110065P20Rik,RIKEN cDNA 1110065P20 gene [Source:MGI Symbol;Acc:MGI:1916170]
ENSMUSG00000078572,Ndufaf8,NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:MGI Symbol;Acc:MGI:1913676]
ENSMUSG00000078575,Gm12887,predicted gene 12887 [Source:MGI Symbol;Acc:MGI:3652131]
ENSMUSG00000078577,Tmco2,transmembrane and coiled-coil domains 2 [Source:MGI Symbol;Acc:MGI:1916719]
ENSMUSG00000078578,Ube2d3,ubiquitin-conjugating enzyme E2D 3 [Source:MGI Symbol;Acc:MGI:1913355]
ENSMUSG00000078580,E430018J23Rik,RIKEN cDNA E430018J23 gene [Source:MGI Symbol;Acc:MGI:2141981]
ENSMUSG00000078584,AU022252,expressed sequence AU022252 [Source:MGI Symbol;Acc:MGI:2140466]
ENSMUSG00000078588,Ccdc24,coiled-coil domain containing 24 [Source:MGI Symbol;Acc:MGI:2685874]
ENSMUSG00000078591,Hs3st4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:MGI Symbol;Acc:MGI:1333792]
ENSMUSG00000078592,Gm4609,predicted gene 4609 [Source:MGI Symbol;Acc:MGI:3782792]
ENSMUSG00000078597,Cyp4a12b,"cytochrome P450, family 4, subfamily a, polypeptide 12B [Source:MGI Symbol;Acc:MGI:3611747]"
ENSMUSG00000078601,Gm12525,predicted gene 12525 [Source:MGI Symbol;Acc:MGI:3649596]
ENSMUSG00000078605,E030025P04Rik,RIKEN cDNA E030025P04 gene [Source:MGI Symbol;Acc:MGI:2685510]
ENSMUSG00000078606,Gvin2,"GTPase, very large interferon inducible, family member 2 [Source:MGI Symbol;Acc:MGI:3782245]"
ENSMUSG00000078607,1810010H24Rik,RIKEN cDNA 1810010H24 gene [Source:MGI Symbol;Acc:MGI:1916316]
ENSMUSG00000078611,Gm5901,predicted gene 5901 [Source:MGI Symbol;Acc:MGI:3643909]
ENSMUSG00000078612,Fyb2,FYN binding protein 2 [Source:MGI Symbol;Acc:MGI:2685466]
ENSMUSG00000078616,Trim30c,tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]
ENSMUSG00000078619,Smarcd2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:MGI Symbol;Acc:MGI:1933621]"
ENSMUSG00000078622,Ccdc47,coiled-coil domain containing 47 [Source:MGI Symbol;Acc:MGI:1914413]
ENSMUSG00000078627,Marchf10,membrane associated ring-CH-type finger 10 [Source:MGI Symbol;Acc:MGI:2443469]
ENSMUSG00000078630,Tomt,transmembrane O-methyltransferase [Source:MGI Symbol;Acc:MGI:3769724]
ENSMUSG00000078636,Gm7336,predicted gene 7336 [Source:MGI Symbol;Acc:MGI:3644851]
ENSMUSG00000078639,Gm12695,predicted gene 12695 [Source:MGI Symbol;Acc:MGI:3650206]
ENSMUSG00000078640,Gm11627,predicted gene 11627 [Source:MGI Symbol;Acc:MGI:3650659]
ENSMUSG00000078648,Gm17546,"predicted gene, 17546 [Source:MGI Symbol;Acc:MGI:4937180]"
ENSMUSG00000078650,G6pc,"glucose-6-phosphatase, catalytic [Source:MGI Symbol;Acc:MGI:95607]"
ENSMUSG00000078651,Aoc2,"amine oxidase, copper containing 2 (retina-specific) [Source:MGI Symbol;Acc:MGI:2668431]"
ENSMUSG00000078652,Psme3,"proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki) [Source:MGI Symbol;Acc:MGI:1096366]"
ENSMUSG00000078653,Cntd1,cyclin N-terminal domain containing 1 [Source:MGI Symbol;Acc:MGI:1923965]
ENSMUSG00000078656,Vps25,vacuolar protein sorting 25 [Source:MGI Symbol;Acc:MGI:106354]
ENSMUSG00000078670,Fam174b,"family with sequence similarity 174, member B [Source:MGI Symbol;Acc:MGI:3698178]"
ENSMUSG00000078671,Chd2,chromodomain helicase DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:2448567]
ENSMUSG00000078672,Mup20,major urinary protein 20 [Source:MGI Symbol;Acc:MGI:3651981]
ENSMUSG00000078673,Mup19,major urinary protein 19 [Source:MGI Symbol;Acc:MGI:3705235]
ENSMUSG00000078674,Mup18,major urinary protein 18 [Source:MGI Symbol;Acc:MGI:3705220]
ENSMUSG00000078675,Mup16,major urinary protein 16 [Source:MGI Symbol;Acc:MGI:3780250]
ENSMUSG00000078676,Casc3,cancer susceptibility candidate 3 [Source:MGI Symbol;Acc:MGI:2179723]
ENSMUSG00000078681,Tm2d3,TM2 domain containing 3 [Source:MGI Symbol;Acc:MGI:1915884]
ENSMUSG00000078683,Mup1,major urinary protein 1 [Source:MGI Symbol;Acc:MGI:97233]
ENSMUSG00000078684,5830417I10Rik,RIKEN cDNA 5830417I10 gene [Source:MGI Symbol;Acc:MGI:1923272]
ENSMUSG00000078686,Mup9,major urinary protein 9 [Source:MGI Symbol;Acc:MGI:3782918]
ENSMUSG00000078687,Mup8,major urinary protein 8 [Source:MGI Symbol;Acc:MGI:3709619]
ENSMUSG00000078688,Mup2,major urinary protein 2 [Source:MGI Symbol;Acc:MGI:97234]
ENSMUSG00000078689,Mup6,major urinary protein 6 [Source:MGI Symbol;Acc:MGI:3650962]
ENSMUSG00000078695,Cisd3,CDGSH iron sulfur domain 3 [Source:MGI Symbol;Acc:MGI:101788]
ENSMUSG00000078700,D030028A08Rik,RIKEN cDNA D030028A08 gene [Source:MGI Symbol;Acc:MGI:2441931]
ENSMUSG00000078706,Gm53,predicted gene 53 [Source:MGI Symbol;Acc:MGI:2684899]
ENSMUSG00000078713,Tomm5,translocase of outer mitochondrial membrane 5 [Source:MGI Symbol;Acc:MGI:1915762]
ENSMUSG00000078716,Tmem8b,transmembrane protein 8B [Source:MGI Symbol;Acc:MGI:2441680]
ENSMUSG00000078719,Msmp,"microseminoprotein, prostate associated [Source:MGI Symbol;Acc:MGI:3652339]"
ENSMUSG00000078721,Fam205a1,"family with sequence similarity 205, member A1 [Source:MGI Symbol;Acc:MGI:3651059]"
ENSMUSG00000078722,Gm12394,predicted gene 12394 [Source:MGI Symbol;Acc:MGI:3649790]
ENSMUSG00000078747,Gm20878,"predicted gene, 20878 [Source:MGI Symbol;Acc:MGI:5434234]"
ENSMUSG00000078762,Haus5,"HAUS augmin-like complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1919159]"
ENSMUSG00000078763,Slfn1,schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]
ENSMUSG00000078765,U2af1l4,U2 small nuclear RNA auxiliary factor 1-like 4 [Source:MGI Symbol;Acc:MGI:2678374]
ENSMUSG00000078768,Zfp566,zinc finger protein 566 [Source:MGI Symbol;Acc:MGI:1919806]
ENSMUSG00000078771,Evi2a,ecotropic viral integration site 2a [Source:MGI Symbol;Acc:MGI:95458]
ENSMUSG00000078772,Gm12353,predicted gene 12353 [Source:MGI Symbol;Acc:MGI:3699710]
ENSMUSG00000078773,Rad54b,RAD54 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:3605986]
ENSMUSG00000078776,9530053A07Rik,RIKEN cDNA 9530053A07 gene [Source:MGI Symbol;Acc:MGI:2442118]
ENSMUSG00000078779,Zfp59,zinc finger protein 59 [Source:MGI Symbol;Acc:MGI:99206]
ENSMUSG00000078780,Gm5150,predicted gene 5150 [Source:MGI Symbol;Acc:MGI:3779469]
ENSMUSG00000078783,Gm9733,predicted gene 9733 [Source:MGI Symbol;Acc:MGI:3780136]
ENSMUSG00000078784,Rbis,ribosomal biogenesis factor [Source:MGI Symbol;Acc:MGI:1916376]
ENSMUSG00000078786,BC024978,cDNA sequence BC024978 [Source:MGI Symbol;Acc:MGI:3041247]
ENSMUSG00000078787,Cyp2t4,"cytochrome P450, family 2, subfamily t, polypeptide 4 [Source:MGI Symbol;Acc:MGI:2686296]"
ENSMUSG00000078789,Dph1,diphthamide biosynthesis 1 [Source:MGI Symbol;Acc:MGI:2151233]
ENSMUSG00000078794,Dact3,dishevelled-binding antagonist of beta-catenin 3 [Source:MGI Symbol;Acc:MGI:3654828]
ENSMUSG00000078796,Zfp541,zinc finger protein 541 [Source:MGI Symbol;Acc:MGI:3647699]
ENSMUSG00000078798,Sult2a1,"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 1 [Source:MGI Symbol;Acc:MGI:98430]"
ENSMUSG00000078799,Sult2a5,"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 5 [Source:MGI Symbol;Acc:MGI:3648378]"
ENSMUSG00000078810,Gp6,glycoprotein 6 (platelet) [Source:MGI Symbol;Acc:MGI:1889810]
ENSMUSG00000078812,Eif5a,eukaryotic translation initiation factor 5A [Source:MGI Symbol;Acc:MGI:106248]
ENSMUSG00000078813,Leng1,leukocyte receptor cluster (LRC) member 1 [Source:MGI Symbol;Acc:MGI:1917007]
ENSMUSG00000078815,Cacng6,"calcium channel, voltage-dependent, gamma subunit 6 [Source:MGI Symbol;Acc:MGI:1859168]"
ENSMUSG00000078816,Prkcg,"protein kinase C, gamma [Source:MGI Symbol;Acc:MGI:97597]"
ENSMUSG00000078817,Nlrp12,"NLR family, pyrin domain containing 12 [Source:MGI Symbol;Acc:MGI:2676630]"
ENSMUSG00000078838,Gm17382,"predicted gene, 17382 [Source:MGI Symbol;Acc:MGI:4937016]"
ENSMUSG00000078851,H2aw,H2A.W histone [Source:MGI Symbol;Acc:MGI:2448458]
ENSMUSG00000078853,Igtp,interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]
ENSMUSG00000078861,Zfp931,zinc finger protein 931 [Source:MGI Symbol;Acc:MGI:2441662]
ENSMUSG00000078862,Gm14326,predicted gene 14326 [Source:MGI Symbol;Acc:MGI:3709298]
ENSMUSG00000078864,Gm14322,predicted gene 14322 [Source:MGI Symbol;Acc:MGI:3652185]
ENSMUSG00000078866,Zfp970,zinc finger protein 970 [Source:MGI Symbol;Acc:MGI:3652255]
ENSMUSG00000078867,Gm14418,predicted gene 14418 [Source:MGI Symbol;Acc:MGI:3702408]
ENSMUSG00000078868,Gm14412,predicted gene 14412 [Source:MGI Symbol;Acc:MGI:3652251]
ENSMUSG00000078870,Gm14410,predicted gene 14410 [Source:MGI Symbol;Acc:MGI:3709158]
ENSMUSG00000078875,Gm14419,predicted gene 14419 [Source:MGI Symbol;Acc:MGI:3702410]
ENSMUSG00000078877,Gm14295,predicted gene 14295 [Source:MGI Symbol;Acc:MGI:3709624]
ENSMUSG00000078878,Gm14305,predicted gene 14305 [Source:MGI Symbol;Acc:MGI:3709632]
ENSMUSG00000078879,Zfp973,zinc finger protein 973 [Source:MGI Symbol;Acc:MGI:3615331]
ENSMUSG00000078897,Gm4724,predicted gene 4724 [Source:MGI Symbol;Acc:MGI:3782904]
ENSMUSG00000078902,Gm14443,predicted gene 14443 [Source:MGI Symbol;Acc:MGI:3652324]
ENSMUSG00000078905,Gm14393,predicted gene 14393 [Source:MGI Symbol;Acc:MGI:3649576]
ENSMUSG00000078906,Gm14444,predicted gene 14444 [Source:MGI Symbol;Acc:MGI:3652325]
ENSMUSG00000078907,Fam186b,"family with sequence similarity 186, member B [Source:MGI Symbol;Acc:MGI:3647604]"
ENSMUSG00000078908,Mon1b,"MON1 homolog B, secretory traffciking associated [Source:MGI Symbol;Acc:MGI:1923231]"
ENSMUSG00000078915,Hsp25-ps1,"heat shock protein 25, pseudogene 1 [Source:MGI Symbol;Acc:MGI:96241]"
ENSMUSG00000078919,Dpm1,dolichol-phosphate (beta-D) mannosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1330239]
ENSMUSG00000078920,Ifi47,interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]
ENSMUSG00000078921,Tgtp2,T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]
ENSMUSG00000078922,Tgtp1,T cell specific GTPase 1 [Source:MGI Symbol;Acc:MGI:98734]
ENSMUSG00000078923,Ube2v1,ubiquitin-conjugating enzyme E2 variant 1 [Source:MGI Symbol;Acc:MGI:1913839]
ENSMUSG00000078926,Cdc20b,cell division cycle 20B [Source:MGI Symbol;Acc:MGI:3644472]
ENSMUSG00000078931,Pdf,peptide deformylase (mitochondrial) [Source:MGI Symbol;Acc:MGI:1915273]
ENSMUSG00000078932,CN725425,cDNA sequence CN725425 [Source:MGI Symbol;Acc:MGI:3613655]
ENSMUSG00000078937,Cpt1b,"carnitine palmitoyltransferase 1b, muscle [Source:MGI Symbol;Acc:MGI:1098297]"
ENSMUSG00000078941,Ak6,adenylate kinase 6 [Source:MGI Symbol;Acc:MGI:5510732]
ENSMUSG00000078942,Naip6,"NLR family, apoptosis inhibitory protein 6 [Source:MGI Symbol;Acc:MGI:1298222]"
ENSMUSG00000078945,Naip2,"NLR family, apoptosis inhibitory protein 2 [Source:MGI Symbol;Acc:MGI:1298226]"
ENSMUSG00000078949,R3hdml,R3H domain containing-like [Source:MGI Symbol;Acc:MGI:3650937]
ENSMUSG00000078952,Lncenc1,"long non-coding RNA, embryonic stem cells expressed 1 [Source:MGI Symbol;Acc:MGI:3780541]"
ENSMUSG00000078954,Arhgap8,Rho GTPase activating protein 8 [Source:MGI Symbol;Acc:MGI:1920417]
ENSMUSG00000078956,Gm14221,predicted gene 14221 [Source:MGI Symbol;Acc:MGI:3650696]
ENSMUSG00000078958,Atp6ap1l,"ATPase, H+ transporting, lysosomal accessory protein 1-like [Source:MGI Symbol;Acc:MGI:3648665]"
ENSMUSG00000078963,Hsbp1l1,heat shock factor binding protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1913505]
ENSMUSG00000078964,Ces1b,carboxylesterase 1B [Source:MGI Symbol;Acc:MGI:3779470]
ENSMUSG00000078965,Gm12033,predicted gene 12033 [Source:MGI Symbol;Acc:MGI:3650772]
ENSMUSG00000078967,Gapdh-ps16,"glyceraldehyde-3-phosphate dehydrogenase, pseudogene 16 [Source:MGI Symbol;Acc:MGI:3781450]"
ENSMUSG00000078970,Wdr92,WD repeat domain 92 [Source:MGI Symbol;Acc:MGI:2144224]
ENSMUSG00000078974,Sec61g,"SEC61, gamma subunit [Source:MGI Symbol;Acc:MGI:1202066]"
ENSMUSG00000078994,Zfp429,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057]
ENSMUSG00000078995,Zfp456,zinc finger protein 456 [Source:MGI Symbol;Acc:MGI:3040694]
ENSMUSG00000078998,Bpifa6,"BPI fold containing family A, member 6 [Source:MGI Symbol;Acc:MGI:3647736]"
ENSMUSG00000079000,Dnmt3bos,"DNA methyltransferase 3B, opposite strand [Source:MGI Symbol;Acc:MGI:2685409]"
ENSMUSG00000079003,Samd1,sterile alpha motif domain containing 1 [Source:MGI Symbol;Acc:MGI:2142433]
ENSMUSG00000079008,Gm14124,predicted gene 14124 [Source:MGI Symbol;Acc:MGI:3652002]
ENSMUSG00000079012,Serpina3m,"serine (or cysteine) peptidase inhibitor, clade A, member 3M [Source:MGI Symbol;Acc:MGI:98378]"
ENSMUSG00000079013,Serpina3j,"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3J [Source:MGI Symbol;Acc:MGI:2182843]"
ENSMUSG00000079014,Serpina3i,"serine (or cysteine) peptidase inhibitor, clade A, member 3I [Source:MGI Symbol;Acc:MGI:2182841]"
ENSMUSG00000079015,Serpina1c,"serine (or cysteine) peptidase inhibitor, clade A, member 1C [Source:MGI Symbol;Acc:MGI:891969]"
ENSMUSG00000079017,Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]"
ENSMUSG00000079018,Ly6c1,"lymphocyte antigen 6 complex, locus C1 [Source:MGI Symbol;Acc:MGI:96882]"
ENSMUSG00000079019,Insl3,insulin-like 3 [Source:MGI Symbol;Acc:MGI:108427]
ENSMUSG00000079020,Slc45a4,"solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]"
ENSMUSG00000079022,Col22a1,"collagen, type XXII, alpha 1 [Source:MGI Symbol;Acc:MGI:1916950]"
ENSMUSG00000079025,Gsdmc,gasdermin C [Source:MGI Symbol;Acc:MGI:1933176]
ENSMUSG00000079033,Mef2b,myocyte enhancer factor 2B [Source:MGI Symbol;Acc:MGI:104526]
ENSMUSG00000079036,Alkbh1,"alkB homolog 1, histone H2A dioxygenase [Source:MGI Symbol;Acc:MGI:2384034]"
ENSMUSG00000079037,Prnp,prion protein [Source:MGI Symbol;Acc:MGI:97769]
ENSMUSG00000079038,D130040H23Rik,RIKEN cDNA D130040H23 gene [Source:MGI Symbol;Acc:MGI:2444324]
ENSMUSG00000079039,Gm11037,predicted gene 11037 [Source:MGI Symbol;Acc:MGI:3779261]
ENSMUSG00000079042,Apela,apelin receptor early endogenous ligand [Source:MGI Symbol;Acc:MGI:3642370]
ENSMUSG00000079043,Fastkd5,FAST kinase domains 5 [Source:MGI Symbol;Acc:MGI:2139469]
